Item Code,Item Name,Division,Vertical,Brand
180002885,CHHOLE MASALA 100 GM (30 pcs),FOOD,RICE/PULSES/SPICES,SPICES
180008907,PATANJALI WHITE VINEGAR SAUCE  170ML,FOOD,EXCLUSIVE RETAIL,SAUCE
180022384,PATANJALI BALPRASH-500G,FOOD,JUICES & NATURAL BEVERAGES,CHYAWANPRASH
180022519,MIX DRY FRUITS WITH BERRIES & SEED 250 G,FOOD,EXCLUSIVE RETAIL,DRY FRUITS
180025948,PAT. NUTRELA MORINGA TABLETS-60 NOS,Nutraceuticals,General Nutrition,Patanjali Nutrela
180026005,PATANJALI DATES ALMOND SPREAD 180G,FOOD,FLOUR & SUGAR,DRY FRUITS
180026086,ORANGE ALOE CHUNK DRINK – 200ML,FOOD,JUICES & NATURAL BEVERAGES,FRUIT JUICE & DRINKS
180026087,PINEAPPLE ALOE CHUNK DRINK – 200ML,FOOD,JUICES & NATURAL BEVERAGES,FRUIT JUICE & DRINKS
180026088,POMEGRANATE ALOE CHUNK DRINK - 200ML,FOOD,JUICES & NATURAL BEVERAGES,FRUIT JUICE & DRINKS
180026136,SWARNA KANTI CREAM-50 G,NON FOOD,SKIN CARE,SKIN CARE
180026138,ANTI AGING CREAM-50 G,NON FOOD,SKIN CARE,SKIN CARE
180026208,KESH KANTI SARSON AMLA HAIR OIL 175 ML,NON FOOD,HAIR CARE,HAIR OIL
180026221,HALDI CHANDAN KNTI BODY CLNSR.4x45Gx54U,NON FOOD,SKIN CARE,BODY CLEANSER
180026262,DANT KANTI FRESH ACTIVE GELTP.-45G T.O,NON FOOD,DENTAL CARE,DANT KANTI
180026293,UV-PRO ADV.SUN DEFNS CREAM-50G SPF-50T.O,NON FOOD,SKIN CARE,SKIN CARE
180026300,HALDI CHANDAN KANTI BODY CL45G-T.O 48SAC,NON FOOD,SKIN CARE,BODY CLEANSER
180026369,BOROSAFE ANTISEPTIC 50 GM CREAM,NON FOOD,SKIN CARE,SKIN CARE
180026373,KESH KANTI HAIR CLNSR SILK & SHINE 450ML,NON FOOD,HAIR CARE,KESH KANTI SHAMPOO
180026395,SAUNDARYA HONEY-KESAR BODY CLEANSER-125G,NON FOOD,SKIN CARE,BODY CLEANSER
180026407,SAUNDARYA HONEY KESAR BC.-125G B3G1 FREE,NON FOOD,SKIN CARE,BODY CLEANSER
180026440,TURMERIC CHARCOAL BATHING BAR 125G(B3G1),NON FOOD,SKIN CARE,BODY CLEANSER
180026709,SUPER DISHWASH BAR-70 G FREE PACK,NON FOOD,HOME CARE,DISHWASH
180030899,PAT CHOLESTEROL CARE LIQUID-500ML,FOOD,JUICES & NATURAL BEVERAGES,MEDICATED JUICE
180030900,PAT ORTHOCARE LIQUID-500ML,FOOD,JUICES & NATURAL BEVERAGES,MEDICATED JUICE
180031047,GOND KATIRA 100GM,FOOD,Other,OTHERS
180031120,SAUNDARYA ALOEVERA GEL 100ML,NON FOOD,Skin Care,ALOEVERA GEL
180031137,GARLIC PICKLE 200G,BISCUIT & CONFFECTIONARY,BISCUIT & CONFFECTIONARY,PICKLE
180031138,LEMON PICKLE 200G,BISCUIT & CONFFECTIONARY,BISCUIT & CONFFECTIONARY,PICKLE
3053,Divya Madhukalp Vati 80 Tab,PHARMACY,MEDICINES,VATI & GUGGAL
3061,Mulethi Kwath 100 Gm,PHARMACY,MEDICINES,ASAV & KWATH
3081,Divya Vrikkdoshhar Vati 40 Tab,PHARMACY,MEDICINES,VATI & GUGGAL
70394,AASTHA AGARBATTI TATHASTU - 18 STICK,AASTHA DIVISION,AGARBATTI,AGAR-18 STICK
70659,SAUNDARYA NOURISHING CREAM 50 G,NON FOOD,NATURAL PERSONAL CARE,SKIN CARE
73605,AASTHA ROYAL BLACK PEARL AGARBATTI- 16 G,AASTHA DIVISION,AGARBATTI,AGAR-ROYAL-16
73760,AASTHA GANGAJAL -100 ML,AASTHA DIVISION,OTHERS,GANGAJAL
73983,SAUNDARYA EYE LINER PEN 1.2 ML,NON FOOD,EXCLUSIVE RETAIL,EYE LINER
73994,AASTHA RED ROSE DHOOP -20 N,AASTHA DIVISION,DHOOP,20 STICK-WET
73995,AASTHA MYSORE SANDAL DHOOP -20 N,AASTHA DIVISION,DHOOP,20 STICK-WET
74099,AASTHA PINEAPPLE DHOOP -20 N,AASTHA DIVISION,DHOOP,20 STICK-WET
74128,AASTHA KESAR CHANDAN GEELA TIKA - 60 G,AASTHA DIVISION,POOJA SAMAGRI,GEELA TIKA
74129,AASTHA LAL CHANDAN GEELA TIKA - 60 G,AASTHA DIVISION,POOJA SAMAGRI,GEELA TIKA
74140,ROSE FACIAL TONER MIST-100 ML,NON FOOD,NATURAL PERSONAL CARE,TONER
74147,AASTHA ASHTAGANDHA -25 GM,AASTHA DIVISION,POOJA SAMAGRI,ASHTAGANDHA
74268,AASTHA HANDMADE AGARBATTI ADI KEDAR-50N,AASTHA DIVISION,AGARBATTI,HANDMADE-50N
74270,AASTHA HANDMADE AGARBATTI KRISHNA-50N,AASTHA DIVISION,AGARBATTI,HANDMADE-50N
